step,day,tod,zone,attendance,capacity,headliner,weather
0,0,0.0,MainStage,0,8000,0,0.832
0,0,0.0,SecondStage,0,4000,0,0.832
0,0,0.0,FoodCourt,469,2500,0,0.832
0,0,0.0,Camping,1283,3000,0,0.832
0,0,0.0,Entrance,0,1500,0,0.832
1,0,0.017857142857142856,MainStage,0,8000,0,0.832
1,0,0.017857142857142856,SecondStage,0,4000,0,0.832
1,0,0.017857142857142856,FoodCourt,498,2500,0,0.832
1,0,0.017857142857142856,Camping,1433,3000,0,0.832
1,0,0.017857142857142856,Entrance,0,1500,0,0.832
2,0,0.03571428571428571,MainStage,0,8000,0,0.832
2,0,0.03571428571428571,SecondStage,0,4000,0,0.832
2,0,0.03571428571428571,FoodCourt,532,2500,0,0.832
2,0,0.03571428571428571,Camping,1313,3000,0,0.832
2,0,0.03571428571428571,Entrance,0,1500,0,0.832
3,0,0.05357142857142857,MainStage,0,8000,0,0.832
3,0,0.05357142857142857,SecondStage,0,4000,0,0.832
3,0,0.05357142857142857,FoodCourt,519,2500,0,0.832
3,0,0.05357142857142857,Camping,1360,3000,0,0.832
3,0,0.05357142857142857,Entrance,0,1500,0,0.832
4,0,0.07142857142857142,MainStage,1,8000,0,0.832
4,0,0.07142857142857142,SecondStage,0,4000,0,0.832
4,0,0.07142857142857142,FoodCourt,509,2500,0,0.832
4,0,0.07142857142857142,Camping,1348,3000,0,0.832
4,0,0.07142857142857142,Entrance,0,1500,0,0.832
5,0,0.08928571428571429,MainStage,1,8000,0,0.832
5,0,0.08928571428571429,SecondStage,0,4000,0,0.832
5,0,0.08928571428571429,FoodCourt,531,2500,0,0.832
5,0,0.08928571428571429,Camping,1519,3000,0,0.832
5,0,0.08928571428571429,Entrance,0,1500,0,0.832
6,0,0.10714285714285714,MainStage,1,8000,0,0.832
6,0,0.10714285714285714,SecondStage,1,4000,0,0.832
6,0,0.10714285714285714,FoodCourt,536,2500,0,0.832
6,0,0.10714285714285714,Camping,1449,3000,0,0.832
6,0,0.10714285714285714,Entrance,0,1500,0,0.832
7,0,0.125,MainStage,2,8000,0,0.832
7,0,0.125,SecondStage,1,4000,0,0.832
7,0,0.125,FoodCourt,537,2500,0,0.832
7,0,0.125,Camping,1423,3000,0,0.832
7,0,0.125,Entrance,0,1500,0,0.832
8,0,0.14285714285714285,MainStage,4,8000,0,0.832
8,0,0.14285714285714285,SecondStage,2,4000,0,0.832
8,0,0.14285714285714285,FoodCourt,523,2500,0,0.832
8,0,0.14285714285714285,Camping,1387,3000,0,0.832
